Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Num_words_text
200979,B000HE6PR6,AQ6AGWKWMTY8H,"Pam Tee ""mom,wife,fur-mom,book-blogger""",8,8,1,1317254400,Made in China :(,what total bummer little jackabee loves these chicken chips unfortunately they made china thank amazon reviewers bringing this attention since love wont buying more these chinese manufacturing quality suspect leastbr wish smokehouse people would address this issue assure people that there some sort quality control placebr disappointedbr mombloggerdog lover,49
357912,B002V0AIUO,A2YX1FYND9HL9S,Puff Daddy,0,0,1,1326672000,Yucky fruit,this worse tasting fruit have ever used combination meldsbr together just almost next tasteless would better offbr buying separate fruits mixing them yourself,23
122507,B003RQK2SO,A187VKK7VWKQ99,Food Snob,2,9,1,1317945600,Smells and Taste like Fish,picture color salt smells taste like fish also tiny rocks that will hurt even chip your teeth only ordered because super saving shipping never again will stick with premiere pink salt from quantum nutrition labs better,36
311718,B000EVG8H4,A2G1EDURF5K1CP,Cherlynn Bell,1,8,1,1337299200,So sad it has milk in it,allergic gluten eggs dairy corn beans finding bread seems impossible looks good milk bite throat would swell shut cant breathe well guess continue live without bread,26
536190,B002UQJA5I,A1H00FRAJUI093,"Dave Maran Munisamy ""DMM""",2,4,1,1260748800,New!!! Amazon.com sells biscuit crumbs.,know that ordering biscuit crumbs that exactly what received such lousy product amazons fault shipping expires products will never order food from amazoncom ever,24
253406,B004JRMG98,A2II09GQGWOMTQ,"Brian Nallick ""METALMANMN""",4,5,1,1319500800,Quite disgusting actually.,wellanything with jalapeno sure love itbr sorry case herebr right bottle almost sour taste itbr picture mayo mixed with fake smoke with dash some kind spice that doesnt even resemble jalapenobr some chips almost gaggedbr some salad other dressing thankfully drowned outbr recommendedbr yuck,44
215096,B0030VBRCG,A7LXTL5A97QIK,E. Jones,1,2,1,1308528000,Very sour :(,year daughter loves these sort squeeze pouches ordered whole case these thinking that could sneak some veggies unfortunately this case these sour that shudders after taking just says dont like wants plain mango curious tried although very sweet taste beginning after taste sour beets awful prepared your little ones arent beets they this flavor,54
202841,B000EDG430,A11UGUSKPDNXQN,"D. Paisley Hillegeist ""mompaisley""",0,0,1,1351036800,Contains FAVA BEANS,thalassemic have g6pd deficiency this bread will make very anemic fava bean flour hemolytic breaks your blood cells even normal people people with thalassemia favism this could land hospital have read ingredients,32
421337,B003O7FZ5Q,ABI5GAJSFN0FR,pool girl,0,5,1,1325548800,Jellies,jams arrive broken never heard back from company amazoni love jelly itself those that werent broken were usable order small ones give gifts,23
94050,B0002DGRPC,AE9ZBY7WW3LIQ,W. K. Ota,5,13,1,1219363200,Why sbould I get crums?,selected this company over other even though price higher hoping pieces would more consistent size tuened container filled with smaller crum like pieces worse than other companys will never anything from this company,33
487321,B0029NMQO4,A1PJEU4DF2W24X,D. Later,1,2,1,1287100800,Not well packed?,these come wrapped packs ordered case which consisted packs when opened packs overcome hideous smell maggots cans which pull tops must have been punched open shipping throw away whole pack disgusting other packs were okay save money plan contacting amazon directly about this probably just unlucky,46
304750,B000V9EIKI,A1BYMKR6E2EXEJ,Towel seeker,0,0,1,1335398400,Stale,much anybody when bunch stale candy best date package eaten raisinets years these just like eating chocolate covered pebbles tried checking with candy maker sell date couldnt tried contacting seller couldnt will just donate them something another seller stick with local stores,42
119677,B004770O08,A1OYBGLMHTXFN4,"E. Katz ""moirainesedai""",1,5,1,1317513600,Allergy warning,keurig machine significant other birthday gift choose free coffee pack with time purchase later both tested within minutes trying throat started swellbr have severe allergic reactions including anaphylactic shock from ingesting amount according resources spoke something often used nuts preservative apparently including those used green mountain coffee that regardless would have been nice have some sort ingredient list package large risk they placing customers whom unfortunate enough possess such food allergies,71
153085,B00141WDXG,A1GHYJ84EPUEUF,esheld01,5,6,1,1329091200,DO NOT BUY,loved these treats then actually read packaging these made china feel betrayed this company pretends they organic free range chicken when really those words exist chinese farming practices they meat from largest makers food china massive factory fully aware issued warnings about chicken products from china killing pets they state they test everything since contaminant been pinpointed impossible test dont give your these treats your research read every label closely they really fool with fine print,76
121418,B0051WA1H4,A1J78FRXYMZTCE,Pam B.,2,2,1,1344643200,Major disappointment!,this product extremely disappointing look anything like picture full hulls last time farmers market purchased kettle corn asked them what kind popcorn they used such kernels told mushroom popcorn excited find this product amazon followed directions popping kernels were different from corn supermarket fraction cost,45
26541,B000YSS7EO,AGPCDJRRNAA11,Deepal S Patel,0,0,1,1326499200,Toxic Hexane used in extraction of DHA,bought both rice oatmeal packs cans clearly state they lifes manufactured martek research martek including their site will find that they hexane extract from algae shame happy baby lying parents saying that they extracted with hexane will never reccommend this product anyonebr also cans that opened smelled rancid prefer gerber organic with smart nourish instead,55
37809,B000LKVDO6,A2RMLXS49P3BY6,Cyrus Ira,3,5,1,1252713600,"Salty, and tasteless",bought this product thinking that would good rainy snowy actually would rather have cereal than this salty taste perhaps since indian origin expected something more suited palate that most others have given this good rating that what made first place have purchased similar stuff from grocery stores they taste much better this product definitely will future recommend either appetit folks,60
46255,B002UDZ0WS,APBSCHA9UC8IV,P. A. Curry,2,2,1,1309824000,Apple Dud,bought these because love apple filling anything however filling very cookie tasted somewhat will purchase this again since many ended giving cookies children they will usually anything,27
452606,B000YSTGGW,A1ZSG3F2DBBRQZ,K. klocek,1,1,1,1284768000,Rancid / Acrid Smell,baby been eating oatmeal cereal about five months just opened recent case from amazon first cans definately different than what this product been past white color greengray also fluffy rancid acrid smell definately present smells like year holiday nuts that went stale long somewhat shocked number reviews comments that have similar issue manufacturer does list phone number their website email only contact method autoresponse email with number that longer servicenot inspiring much confidence this brand,75
412381,B005AL2GXI,A2P9XSFQSAS0BE,andyrose73,0,1,1,1342137600,useless!,similar reviewer before sprayed this over smart bootsies combination scratcher review that ziltch nada tried spraying number their toys also wouldve thought made water response gotten they respond just fine brand regular catnip wont catit catnip from hagen burn once lose customer life what total,45
297914,B002OMAZ5C,A2CONYJSLYYY8A,"Court ""juliet8379""",8,11,1,1283990400,Not happy,little plants grew about inch tall then died tried everything more water less water more sunlight less sunlight nothing seemd make better worse just dies very slow death might again another time,32
560289,B000UFYPHO,A2KVZY7FQ2UV3A,Sue Smith,1,1,1,1328227200,Doesn't smell like bergamot,price service delivery great products title bergamot essential listed feature description food grade essential searched long time food grade bergamot until have only found essential used aromatherapy candles ingested this claims both this product food grade smells nothing like bergamot useless regardless since open smell cant return waste time,49
261055,B003NV2IG2,AU1ME6380RQ48,"Mel ""mudiva""",0,1,1,1348099200,Horrible!,usually dont write reviews when something disgusting this product feel must share these seaweed snacks disgusting taste very fishy still taste fish been over hour since last they super super thin almost like eating tissue paper when first picked placed into mouth lips started burning know they contain wasabi just didnt expect burn mouth after minute burning sensation subsiding judging from picture front package expecting these crunchy tissue thin wont buying these again,73
400440,B001EQ5FO0,A65A1YHYPXQ8L,"Susan A. Callanan ""romanticsue""",6,6,1,1273968000,vanilla bean paste,didnt care productit wasnt vanilla enoughit more like sugar syrupi made homemade vanilla cream even extra custard have vanilla bean flavori would recommend,23
309468,B005PCH4P2,A32ZB8F0B030DZ,Julie,1,2,1,1335916800,not the true tamarind flavor,this sweet sour tamarind product true tamarind taste also overly coated with sugar taste itself awful package very small worth price dont waste your money,25
267899,B000LKZA1I,A2CQ4LCJ4VSM6X,"Ham I Am ""big red""",0,0,1,1344038400,Gummy,agree with some other reviewers that this crust didnt cook right gummy throw pizza away inedible gone ahead toppings before realized crust gummy middle notice recipe been revised used more water ratio something working right emailed company hope they respond,40
198296,B002145JO0,A3YJX1TWOHVDA,Lund Wolfe,0,4,1,1285459200,totally tasteless,actually bought this kill ants based google results natural poison ants with effects course cheap does cook fast flavor substance seasoning like there still corn flavor behind itbr maybe this normal refined instant corn products arrowhead mills organic whole grain cornmeal absolutely delicious,43
341707,B001RVFEP2,A34FGRZK561PBP,R. Taylor,3,7,1,1283126400,They have a strange taste. Much worse than baked Lays or Pringles.,disappointed with taste these chips regular barbecue cant really taste potato almost like eating badlyflavored foam chip tastes like stale even though fresh also chemicallike taste similar baked lays pringles chips very tasty kids finally rest these chips only after other chips were gone,44
67444,B000LLS410,A29RC6OF65IXSC,L. Mccaslin,1,2,1,1313539200,overpriced,whole foods much cheaper organic almond milkand when whole foods cheaper know youre getting terrible deal also pretty sure pacific whole radiation right sure where ingredients from suggest buying locally,30
530809,B0000V1BF2,AJDG9Z655L1HR,"ArtMan ""All things must pass - GH""",5,5,1,1235952000,LIE-chee,this deal tasted nothing like supposed item overpriced shipping cost together comes huge disappointment dont this have real lycheeblack cause this aint sorry,23
370674,B000CQ01GU,A8N80IBDZ91IC,K. Clark,7,10,1,1294099200,Not a good price on Amazon,usually stores here colorado unless this those without annies their grocery stores this deal cmon amazon bulk save same price,20
268554,B0001K5MGG,A1A2YLMO2ADSEC,RD,1,2,1,1317772800,Bogus Marketing BS,these marzano tomatoes someone clever enough name their company marzano knowing that naive consumers would aware cache that real marzano tomatoes carry mistakenly think that they were getting great deal what they getting just domestic plum tomato frankly these tomatoes even weak domestic whole peeled tomato,46
389784,B0008IT4OM,ADW9I4QNIJRL6,Lawrence Byng,4,4,1,1287273600,Absolute disaster,product arrived congealed mass single truffle survived intact during shippingunmitigated disaster dont waste your time moneybr lindt chocolate that ordered separately arrived same time pristine condition,26
553527,B003RRFBB6,A2HKKDW9P2UWLF,Michelle,1,2,1,1326326400,"Like The Product, Maybe Not Through Amazon Though",ordered case this product because subscribe save pricing august have been drinking tempts hemp milk couple years already liked this product there question about taste however when received order pack hole content spilled still deal perpkg price concerned threw away package cleaned others time finished packages november found already gone even though expiration some time thought experience isolated case well being apprehensive about just peeked into this website anyone else encountered something similar bingo subscribe save reordering date approaching just canceled subscription unfortunate that bulkbuying doesnt seem work this item need start buying from local grocery store,97
250551,B00248EA8Y,AJ16VJP4TJV09,DAVID P. MILOT,0,0,1,1343088000,WORST MAPLE SUGAR CANDY EVER EXPERIENCED!!!,ordered maple candy from amazoncom previouslybr excellent sweet soft inside with soft crust true maple candy tastebr however this maple candy tasteless hard inside,24
43246,B005DDC3JK,A1B1N3PHSXE3OC,Honesty37,3,3,1,1340841600,expiration date is almost there!,almost expired when ordered like this share with family country will take time package there figured time they have expired theres sense ordering this many package still better grocery store check expiration date,33
98603,B004GW6O9E,AFT9Y4WLQVVDB,tayrorree,2,8,1,1287100800,disgusting product,went hiking weeks every morning were provided with larabars breakfast first seemed that then cinnamon roll flavor could even halfway through just plain disgusting,24
23754,B0013NUGDE,A3DINDWUOVBDJG,David,2,3,1,1297468800,Never tasted cheddar cheese like this!,really wanted like these after reading good reviews cheese snob like baked lays with cheddar flavor something flavor these cheddar popchips right first bite then there bitter aftertaste back lays,30
488674,B005K4Q1YA,A2YGNPKICOZTLQ,"Julie Grimes ""Jewels""",3,4,1,1345075200,"Vending Machine Coffee, dont buy it.",this coffe terrible sweet does taste like cappuccino save yourself some money real coffee like francisco chaser your keurig hrefhttpwwwamazoncomgpproductb005k4q1yagrove square cappuccino cups french vanilla single serve keurig kcup brewers counta,31
6105,B001LNZG9U,A1BVU7F2T8EUKS,DKDC,1,2,1,1277683200,AWFUL,dont know they this worst tasting carrot juice have ever think with long shelf life expires drank well tried drink probably bottled somethingbr yyeecchh,24
423005,B008FWOAEC,A2MCBR3CK8A9Z,TimmyJ,0,0,1,1347494400,Dangerous,like stated above these dangerous like giving your buffalo flavored glass didnt like shattering while chewing decided inspect piece breaking with fingers sliced finger open they might fine small nibble medium sized shattered these things into pocketknifelike shards within seconds better giving your cooked chicken bones,46
168947,B0016BAB42,A11BN1OU4J9461,Richard Brathwaite,5,8,1,1287964800,Tastes Funny,probably with fact that product less than month away from expiration will never again tasted horrible used sambazon frozen acai before will probably stick that,25
296905,B00126B014,A2PGYTFQBQYCOE,Kristine McCormack,0,0,1,1304035200,yuck,kids didnt like taste liked yellow best they took them anyway about weeks after starting them started having problems with constipation daughter back pain cant sure related these vitaminshowever stopped using them everything seems fine nowcoincidence maybe,37
273890,B003J9ZW8E,A3UPYXGSAUPRW9,JLP,0,0,1,1304121600,Rip Off - Order Direct,better ordering these directly from website mccall farms much cheaper have already ordered these peanuts website actually their label very small below nutrition facts,24
385769,B00434HR64,A1M1MZ9Z0D5CPA,Khamil,3,3,1,1299888000,Horrible,pasta fine until glaze upon which after adding glaze pasta tasted like sweet lemon would even recommend buying this product,20
414028,B0026KPDG8,AXXWXM6K66YMZ,immelbatoast,5,10,1,1224288000,Too strong IMO,bought popchips variety pack different flavors kept open mind just dont like this flavor their other flavors like salt vinegar great these really peppery cant even taste salt them because pepper overwhelming might your like pepper food husband puts pepper everything even said there much pepper here,47
564482,B004HYEIVM,A291HTT117RVS9,"MadisonVeggie ""Lynette in Wisconsin""",0,2,1,1315526400,Sweet version isn't very good,bought sweet version haywards pickled onions accident once local grocer please note that these traditional pickled onionsthey very tasting sweet version also tried care strong variety only standard version,29
478086,B0044W4HWW,A2EF3Y36HY8C8Z,Ed Zuckerman,0,0,1,1340496000,Product Missing from Package,just opened this package discovered that twelve packs either fallen been removed prior packaging price what dealbr apparently outside return window cant money backbr have really good luck ordering from amazon very disappointed with this purchase,36
65007,B000N8N45W,A1SJ4L40563V9L,KayJo,0,0,1,1323388800,didn't like it,love annie chun this particular soup just does personally however love soup very unusual taste really wanted like this soup will stick other flavors that love,26
342006,B000ESJR20,A38H2OJ7YP9A4,"D. Mullane ""Daniel Mullane""",2,9,1,1302566400,Mount Hagen Organic Freeze Dried Instant Coffee,instant coffee good tasting mount hagen misses mark mount hagen tastes like freeze dried coffees nescafeacute makes good tasting dark roast instant coffee unfortunately organic wont time soon such life,30
112512,B002ZJSWO0,A2BKPWCQGT8N0A,"P. lucas ""plucas11111""",1,3,1,1209081600,these ain't oreo's,these things oreos minus creme minus cookie title oreo basically total misnomer these nothing black crackers with some sugar that what want then click purchase,25
304404,B001AS1A4Q,A2EACHU71ZO56Y,ES,0,2,1,1320710400,Tastes horrible not worth it,energy boost drinking coffee however hold nose while drinking sticking coffee which isnt great much cheaper doesnt have these chemical additives,21
420884,B0008D6TDQ,A2U8N65AZUG1B4,cupcakesweetie,0,0,1,1287792000,silver glitter,this dessert glitter silver glittery dull gray looks like dirty dust bought daughters birthday cupcakes will using after wonder there image displayed this item waste your money this,28
138220,B001EQ5BXA,A21UNA8ERZR6K2,natural mommy,2,4,1,1322956800,False addvertising,bought this sons second birthday cake needed colors blue yellow which they addvertise that colors used both bottles blue which actually green came with pretty green used both bottles came with really pretty pink yellow worked great wont ever this brand again wish could refund products that purchased waste dollars,50
562664,B003TRMKSG,A387KOTCZASZON,hunterbaby,1,5,1,1316908800,can't get response from Nutricity!!!,order wronghave tried contact company exchange results very unsatisied with company phone number package recieved will help this suppose bigger pkts salsa this sent very small with tomatoes will purchase from here againshame them,34
261666,B001EO5UJW,A2NTVJ5OJQ5XWB,J. Warner,0,0,1,1348272000,Same as a truck stop,harsh headline because meani just wish stuff would have tasted like expected african coffee taste like best coffee ever african kitamu starbucks been discontinued took chance here wasted three bags actually used local purchase next morning that muddy tasting,39
489094,B005K4Q1YA,A3NHD4BPYEEX2,"Charles Hickey ""The Dogwalker""",1,3,1,1328054400,Real coffee???,bought grove square medium roast thought what great price kcup coffeebr right when opened thought that cups were very light course their light they filled with instant coffeebr amount instant coffee that could have bought jars same price times same type coffeebr expect real coffee when around,47
211262,B000WFU8O6,A2DHA9BIS3NB2H,eec,3,3,1,1289606400,The only Welleness food my cat refuses to eat.,this only variety wellness food that refuses also only variety that smells horrid most varieties actually smell good especially chicken turkey flavors this nauseating fact first opened smelled that thought product spoiled opened second either both were spoiled neither were just smells horrific product isnt inexpensive though this amazon sale perhaps because doesnt sell well,55
344710,B0026KNQSA,A10X7DZ3WOE9YG,"Cristina Growden ""Former Marketplace book seller""",1,5,1,1325635200,Is this food?,this regular flavorbr give zero starts badbr hard believe this food really hard believe good reviews felt like eating packing material left slimy yucky residue mouth totally disgusting stix better,30
563627,B007JFMH8M,APMYPD97EHUUZ,"John H. Gruver ""brainactiv""",0,0,1,1344211200,Way too much oat bran = chewy but dry cookies,tried gave bites sure then into trash even close appetizing amazing something chewy powdery quite tasteless simultaneously quakers figured conundrum produced these cookies assume bran since similar experiences with using when thing pancakes however what ever aint good recommend these even sworn enemies,43
188804,B000HDONP8,A3T3BUBDW288F0,Satkirtan,0,2,1,1347494400,False Advertisement,pretty active health food conscious social circles buying these types foods supporting alternative business important however this company consistently markets their products huge boxes with tiny cookies bars think cookies okay feel this company knowingly deceives their customers making product look bigger husband actually laughed when tiny these things regardless much value when very little opinion wasting massive amounts packaging inconsistent with earth conscious advertisement package that reason alone will these again,72
551156,B000EOMUAU,A12OV2GW924PXI,Cc,3,7,1,1293840000,Sand in this salt,this awful product leaves sand your food bottom cooking pans after boiling something there many excellent reviews leaves wonderingwhos really behind these reviews granted natural organic dirt think there that many folks love grit,34
267274,B000E123IC,A9BYD8SONAAHW,jadespy,15,39,1,1151107200,Tasted pretty bad,bought trader joes this brand especially picture front label looking delish temptingi home this soup thought just tasted awful like miso soup this just didnt just tasted bland pictures deceiving,30
485769,B001RVFERK,A1FSZILKM1W3NN,Chicago reviewer,4,16,1,1238284800,Terrible,these chips flavors variety pack really terrible have thrown away them suffered through eating some them they over spiced nasty,20
160362,B005UNRHVW,A3U777R6IARRU0,shorty,2,2,1,1325203200,Not worth the price,past have consumed similar products when into chocolate interior filled with various liquors when bite into these chocolates interior filled with what tastes like flavored syrup original spirits advertised would never purchase these again would recommend anyone,37
111554,B003R0LKTK,A386OP2O7Z5Y5L,R. G,3,4,1,1258934400,"Warning, Pet food recall ,canned food, untrustworthy company",warning they dont even make there food licensed another company look back doesnt even list made only says guaranteed canidae when asked made wasbr either completely ignoredbr given huge around only thing ever state made they wouldnt even tell companybr this dangerous because this food recalls happened years sourcing manufacturing,50
32951,B001P05K8Q,A1FDMQDEZFFA3C,lynn,0,0,1,1339286400,CHOKING HAZARD!!!,weve ordered these before problem this time however with second treat boxer almost choked death pulled small chunk mouth later night hacked vomited another small piece along with earlier meals piece still super hard seems that they fragment easier than before after chewing will ordering again will returning choking risk worth there other better chews there those that feed this your dogs please watch carefully they might small fragmented pieces,70
43052,B001EO688E,A3R0TPNKILXU18,S.T.,0,0,1,1349913600,RIP OFF,instead foods pistachios salt ounce bags pack recieved foods pistachios salt ounce bags pack other words what should have been bags advertised recieved only bags plus they infested,28
508300,B001PQNV6S,A3FNH64G4NAC8X,A. Dove,1,1,1,1233187200,Center of cookie is rock hard,outer layer cookie good center from creamy rock hard inedible bought these after eating couple they pantry until they went stale were tossed wont these again however midel makes other cookie varieties that deliciousmy whole family loves arrowroot animal cookies ginger snaps,42
516792,B000VD6N5M,A9BQPYSCYF91C,K. S. Bhaskar,3,20,1,1201219200,"Close to the worst chocolate I have eaten, if not actually the worst",cote dark brut chocolate cocoa 35ounce bars pack close worst chocolate have eaten actually worst just about chocolate taste spoiled rotten doesnt smell like skunk anything like that just plain tastelessbr unfortunately amazons return policy doesnt allow grocery items returned have emailed them unless they return dont plan food from amazon future,52
69637,B003CK7O36,A2UJUMMYRDEWNV,spiritllc,0,1,1,1326585600,Really Bad Tea,first brewed awful nice bergamot scent horrible bitter taste tried brewing more times using alternate techniques still horrible bitter each time will this brand again,25
223440,B002QGK2V8,A2P8RK5TQO2N4L,Anna,0,0,1,1332720000,Foul-smelling and undrinkable,coffee expert means however have sense smell taste unfortunately after wasting money 24count pack this smells disgusting open window after brewing skunky about right taste quite pretty gross,28
268670,B004SRFYMK,A21CDMPMPFXHT6,B. PYATT,9,9,1,1289779200,Less Potassium per Ounce then the Boxes because it's not Pure,fooled into getting this because cheaper then boxes there reason pure tastes like crap less potassium ounce bottom compared boxes that ounces smaller stick with boxes trust,27
464902,B000LKVIVE,A30ZVA3LORHINW,"Valerie L. Orton ""val""",0,6,1,1209340800,tastes like pepper,nice taste these alot desired very strong pepper taste kinda nasty gins much better they alot sweeter much better morning sickness,21
119839,B0009YUEG2,ALQ5H21XVQLSI,Gezellige_Poes,2,3,1,1332374400,Expensive ~ Go To Your Local Feed Store,continually amazed much stores retailers selling supplies charge basic stuff feline pine exception switched multiple household pine pellets first time ever dont smell urine however dont feline pine your local feed store pound equine bedding pellets about huge savings same stuff,41
22916,B004ZIER34,A2PZM8DT1KGT10,"Edwina E. Cowgill ""book lover""",0,0,1,1319760000,Worst Cup of Coffee Ever,this coffee acid leaves such awful aftertaste like youre drinking burnt coffee grounds this coffee that poured made fresh what weve been drinking world difference,25
26787,B003POMUFQ,A3IC19O2VD06VR,Patricia Munro,2,3,1,1305158400,not what I expected,didnt like these ended throwing them away because thought getting more chocolate them than healthy snack berries were crispy expecting maybe little chewy like small raisin something,27
357985,B000F0FVQS,A3JX37OEQSJJI4,S. Allen,4,4,1,1271894400,expired,ordered these hoping they would crisp healthy experience with amazon always been prompt with fresh expired food this time bags received expired months previous when ordered them chips were stale,30
127751,B001BOVE54,AWC8GY3CBPHBX,Gerry Williams,2,3,1,1325030400,Poor Packaging,received food original packaging there protective wrap there powdered food crushed nuggets believe handling either warehouse most likely shipper until they improve their packaging recommend that purchase this product online,30
502051,B00206DS60,A2SLZEIPACPEKR,pbart,1,5,1,1264032000,I agree - poorly packaged,agree with previous reviewer complained about packaging mine arrived with inner plastic open rice taken smell outer already contained some yellow grains they need this packaging before will again,29
35485,B003X4VJLE,A1OA746DYCD3VK,Charlene L. Knaps,2,3,1,1343088000,Bad Batch?  Tastes like Nothing,husband recently salt diet favorite restaurant outback ordered this steak seasoning first time used both thought very bland steaks tasted like they been cooked with nothing doubled amount used second time still completely tasteless third time dipped steaks used this seasoning breadcrumbstyle coating nothing added just bowl this seasoning steaks were still completely tasteless threw rest giant colored flecks garbage just really batch what what waste,66
237051,B004ZU0RAE,ATGJDVN34Y02R,L. Moll,1,1,1,1258416000,They all broke...,liked drinking from these bottles problem they have broken wash them dishwasher cant tell this caused withing just couple months broke last first that broke accidentally dropped shattered breastfeed these madela pump imagine when lost milk from that bottle didnt drop other ones develop crack bottom that runs sidebr anyhowwould recommenda hrefhttpwwwamazoncomgpproductb001uaju7ievenflo purely comfi angled bottle packaa hrefhttpwwwamazoncomgpproductb001h0ggw8evenflo free purely comfi bottle 3packa,63
278773,B0007SNZ52,A1XKCP8U35U27,"David B. ""movie collector""",1,4,1,1202169600,Price is ridiculous,angry about this price this item this from number national supermarket chains less than high side youre near them several them will ship what ripoff,25
378806,B0009AJQ0Q,A11L29WJU8L2GR,R. Torres,0,0,1,1245283200,All about the taste,sorry these cookies taste like sugar cookies they were actually salty nice chewy only good thing that they arrived piece crumbs however deliver taste no0t ordering from scotts items again,30
210896,B000CR41D8,A21U03PVX582A9,Sue,0,0,1,1294444800,Burnt taste and shelf life short or used up,excited about buying these bulk special price amazon offering however when received case bags purchased sets extremely disappointed date month later even more when tasted them like others pointed they have very distinct burnt tastebr pretzels last just about forever realizing these organic would allow shorter shelf life real issue that shelf life used before sale short these were essentially waste money coax people take them away,67
